id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp
162,GRACIE,17,70,108,427,568,657,06/02/19 11:59 AM
163,JASPER,71,13,225,455,774,593,07/02/19 11:59 AM
164,PIPER,38,61,501,481,717,726,08/02/19 11:59 AM
165,STELLA,71,32,305,399,958,535,09/02/19 11:59 AM
166,YUKON,61,14,201,295,988,790,10/02/19 11:59 AM
167,ZOEY,34,94,287,162,657,781,11/02/19 11:59 AM
168,ANNIE,85,94,113,105,617,530,12/02/19 11:59 AM
169,BUSTER,41,60,247,236,914,655,13/02/19 11:59 AM
170,SAM,49,44,459,398,830,537,14/02/19 11:59 AM
171,MARLEY,46,63,414,370,604,807,15/02/19 11:59 AM
172,SCOUT,7,14,279,493,537,818,05/02/19 11:59 AM
173,BENTLEY,19,19,207,232,892,860,06/02/19 11:59 AM
174,DIESEL,28,91,466,427,722,572,07/02/19 11:59 AM
175,KONA,6,75,141,262,996,938,08/02/19 11:59 AM
176,RUGER,92,2,428,182,603,885,09/02/19 11:59 AM
177,THOR,28,74,415,314,613,654,10/02/19 11:59 AM
178,ZEUS,27,61,385,130,629,854,11/02/19 11:59 AM
179,ATHENA,60,89,124,248,753,794,12/02/19 11:59 AM
180,ELLIE,37,88,301,119,710,706,13/02/19 11:59 AM
181,FINN,90,13,452,477,564,856,14/02/19 11:59 AM
182,LILLY,95,20,111,345,830,854,15/02/19 11:59 AM
183,MILO,4,38,383,247,740,601,16/02/19 11:59 AM
184,TITAN,86,76,400,435,854,709,05/02/19 11:59 AM
185,BLUE,15,92,224,379,995,736,06/02/19 11:59 AM
186,DAKOTA,82,15,224,172,652,724,07/02/19 11:59 AM
187,KISKA,48,24,431,127,913,943,08/02/19 11:59 AM
188,LEO,68,86,307,301,999,745,09/02/19 11:59 AM
189,MINNIE,63,92,215,101,516,893,10/02/19 11:59 AM
190,MURPHY,58,74,222,238,695,541,11/02/19 11:59 AM
191,OSCAR,13,70,228,469,665,721,12/02/19 11:59 AM
192,SASHA,24,87,108,331,986,550,13/02/19 11:59 AM
193,TUCKER,85,39,283,340,619,662,14/02/19 11:59 AM
194,KODIAK,10,93,271,325,590,627,15/02/19 11:59 AM
195,LOUIE,49,60,274,492,763,792,16/02/19 11:59 AM
196,NALA,91,54,428,206,555,789,06/02/19 11:59 AM
197,OLIVER,3,26,451,345,798,740,07/02/19 11:59 AM
198,RANGER,67,30,473,157,858,632,08/02/19 11:59 AM
199,slim,28,20,102,197,830,816,03/02/19 11:59 AM
200,spike,97,34,250,367,829,507,04/02/19 11:59 AM
201,mamacat,77,79,368,184,960,959,05/02/19 11:59 AM
202,babycat,65,85,341,264,622,722,06/02/19 11:59 AM
203,miko,23,7,143,124,871,822,07/02/19 11:59 AM
204,WINSTON,52,59,277,161,854,581,08/02/19 11:59 AM
205,ZOE,30,66,140,212,784,951,09/02/19 11:59 AM
206,ANGEL,74,65,307,374,884,714,10/02/19 11:59 AM
207,BAXTER,30,65,277,260,978,768,11/02/19 11:59 AM
208,EMMA,87,5,433,345,669,550,12/02/19 11:59 AM
209,GIZMO,67,75,320,372,861,736,13/02/19 11:59 AM
210,HAZEL,101,57,287,296,521,866,14/02/19 11:59 AM
211,CHANCE,46,82,489,385,831,747,03/02/19 11:59 AM
212,CHEWY,71,43,417,238,719,716,04/02/19 11:59 AM
213,HUNTER,5,102,377,188,827,675,05/02/19 11:59 AM
214,JACKSON,52,58,285,408,784,827,06/02/19 11:59 AM
215,MADDIE,74,55,319,358,719,545,07/02/19 11:59 AM
216,OTIS,63,78,451,374,931,604,08/02/19 11:59 AM
217,RAVEN,29,43,177,368,774,936,09/02/19 11:59 AM
218,TEDDY,94,28,436,279,546,999,10/02/19 11:59 AM
219,BO,41,99,226,500,820,855,11/02/19 11:59 AM
220,BUDDY,88,101,471,240,927,902,12/02/19 11:59 AM
221,MAX,8,23,463,126,720,666,13/02/19 11:59 AM
222,SADIE,57,41,321,242,866,955,14/02/19 11:59 AM
223,LUCY,17,32,372,179,780,783,04/02/19 11:59 AM
224,BAILEY,88,54,429,216,890,575,05/02/19 11:59 AM
225,DAISY,47,77,142,156,626,711,06/02/19 11:59 AM
226,LUNA,98,90,259,484,661,875,07/02/19 11:59 AM
227,CHARLIE,67,97,282,310,766,861,08/02/19 11:59 AM
228,MAGGIE,6,36,397,283,714,860,09/02/19 11:59 AM
229,MOLLY,75,34,153,444,838,688,10/02/19 11:59 AM
230,COOPER,86,77,432,350,843,695,11/02/19 11:59 AM
231,GINGER,9,2,420,410,574,879,12/02/19 11:59 AM
232,JACK,65,73,202,200,813,841,13/02/19 11:59 AM
233,WILLOW,46,66,425,481,670,956,14/02/19 11:59 AM
234,ABBY,14,32,253,302,826,599,15/02/19 11:59 AM
235,BEAR,74,78,266,472,892,853,04/02/19 11:59 AM
236,LILY,93,35,406,168,613,665,05/02/19 11:59 AM
237,DUKE,18,18,142,497,809,648,06/02/19 11:59 AM
238,KODA,31,96,263,356,861,869,07/02/19 11:59 AM
239,ROCKY,27,93,171,180,847,813,08/02/19 11:59 AM
240,CHLOE,13,4,289,391,889,642,09/02/19 11:59 AM
241,KENAI,67,87,323,429,533,947,10/02/19 11:59 AM
242,HARLEY,43,46,343,234,859,531,11/02/19 11:59 AM
243,DENALI,82,52,213,477,822,927,12/02/19 11:59 AM
244,TOBY,61,58,258,502,691,657,13/02/19 11:59 AM
245,JAKE,56,23,213,271,570,672,14/02/19 11:59 AM
246,LOKI,57,3,305,341,519,546,15/02/19 11:59 AM
247,RUBY,38,86,465,175,667,720,05/02/19 11:59 AM
248,ROXY,96,44,361,143,968,627,06/02/19 11:59 AM
249,LUCKY,87,82,449,388,773,980,07/02/19 11:59 AM
250,PENNY,19,35,154,160,820,600,08/02/19 11:59 AM
251,RILEY,99,12,165,297,865,948,09/02/19 11:59 AM
252,SHADOW,85,67,429,198,564,736,10/02/19 11:59 AM
253,SOPHIE,78,47,414,433,607,543,11/02/19 11:59 AM
254,LOLA,30,49,356,140,919,821,12/02/19 11:59 AM
255,ROSIE,44,32,494,327,767,951,13/02/19 11:59 AM
256,PEPPER,88,96,209,360,844,606,14/02/19 11:59 AM
257,COCO,66,93,385,453,657,926,15/02/19 11:59 AM
258,GUS,13,55,440,169,707,655,16/02/19 11:59 AM
259,LADY,19,45,141,228,683,545,05/02/19 11:59 AM
260,BANDIT,26,62,485,360,928,841,06/02/19 11:59 AM
261,GRACIE,18,71,109,428,569,658,07/02/19 11:59 AM
262,JASPER,72,14,226,456,775,594,08/02/19 11:59 AM
263,PIPER,39,62,502,482,718,727,09/02/19 11:59 AM
264,STELLA,72,33,306,400,959,536,10/02/19 11:59 AM
265,YUKON,62,15,202,296,989,791,11/02/19 11:59 AM
266,ZOEY,35,95,288,163,658,782,12/02/19 11:59 AM
267,ANNIE,86,95,114,106,618,531,13/02/19 11:59 AM
268,BUSTER,42,61,248,237,915,656,14/02/19 11:59 AM
269,SAM,50,45,460,399,831,538,15/02/19 11:59 AM
270,MARLEY,47,64,415,371,605,808,16/02/19 11:59 AM
271,SCOUT,8,15,280,494,538,819,06/02/19 11:59 AM
272,BENTLEY,20,20,208,233,893,861,07/02/19 11:59 AM
273,DIESEL,29,92,467,428,723,573,08/02/19 11:59 AM
274,KONA,7,76,142,263,997,939,09/02/19 11:59 AM
275,RUGER,93,3,429,183,604,886,10/02/19 11:59 AM
276,THOR,29,75,416,315,614,655,11/02/19 11:59 AM
277,ZEUS,28,62,386,131,630,855,12/02/19 11:59 AM
278,ATHENA,61,90,125,249,754,795,13/02/19 11:59 AM
279,ELLIE,38,89,302,120,711,707,14/02/19 11:59 AM
280,FINN,91,14,453,478,565,857,15/02/19 11:59 AM
281,LILLY,96,21,112,346,831,855,16/02/19 11:59 AM
282,MILO,5,39,384,248,741,602,17/02/19 11:59 AM
283,TITAN,87,77,401,436,855,710,06/02/19 11:59 AM
284,BLUE,16,93,225,380,996,737,07/02/19 11:59 AM
285,DAKOTA,83,16,225,173,653,725,08/02/19 11:59 AM
286,KISKA,49,25,432,128,914,944,09/02/19 11:59 AM
287,LEO,69,87,308,302,1000,746,10/02/19 11:59 AM
288,MINNIE,64,93,216,102,517,894,11/02/19 11:59 AM
289,MURPHY,59,75,223,239,696,542,12/02/19 11:59 AM
290,OSCAR,14,71,229,470,666,722,13/02/19 11:59 AM
291,SASHA,25,88,109,332,987,551,14/02/19 11:59 AM
292,TUCKER,86,40,284,341,620,663,15/02/19 11:59 AM
293,KODIAK,11,94,272,326,591,628,16/02/19 11:59 AM
294,LOUIE,50,61,275,493,764,793,17/02/19 11:59 AM
295,NALA,92,55,429,207,556,790,07/02/19 11:59 AM
296,OLIVER,4,27,452,346,799,741,08/02/19 11:59 AM
297,RANGER,68,31,474,158,859,633,09/02/19 11:59 AM
298,slim,29,21,103,198,831,817,04/02/19 11:59 AM
299,spike,98,35,251,368,830,508,05/02/19 11:59 AM
300,mamacat,78,80,369,185,961,960,06/02/19 11:59 AM
301,babycat,66,86,342,265,623,723,07/02/19 11:59 AM
302,miko,24,8,144,125,872,823,08/02/19 11:59 AM
303,WINSTON,53,60,278,162,855,582,09/02/19 11:59 AM
304,ZOE,31,67,141,213,785,952,10/02/19 11:59 AM
305,ANGEL,75,66,308,375,885,715,11/02/19 11:59 AM
306,BAXTER,31,66,278,261,979,769,12/02/19 11:59 AM
307,EMMA,88,6,434,346,670,551,13/02/19 11:59 AM
308,GIZMO,68,76,321,373,862,737,14/02/19 11:59 AM
309,HAZEL,102,58,288,297,522,867,15/02/19 11:59 AM
310,CHANCE,47,83,490,386,832,748,04/02/19 11:59 AM
311,CHEWY,72,44,418,239,720,717,05/02/19 11:59 AM
312,HUNTER,6,103,378,189,828,676,06/02/19 11:59 AM
313,JACKSON,53,59,286,409,785,828,07/02/19 11:59 AM
314,MADDIE,75,56,320,359,720,546,08/02/19 11:59 AM
315,OTIS,64,79,452,375,932,605,09/02/19 11:59 AM
316,RAVEN,30,44,178,369,775,937,10/02/19 11:59 AM
317,TEDDY,95,29,437,280,547,1000,11/02/19 11:59 AM
318,BO,42,100,227,501,821,856,12/02/19 11:59 AM
319,BUDDY,89,102,472,241,928,903,13/02/19 11:59 AM
320,MAX,9,24,464,127,721,667,14/02/19 11:59 AM
321,SADIE,58,42,322,243,867,956,15/02/19 11:59 AM
322,LUCY,18,33,373,180,781,784,05/02/19 11:59 AM
323,BAILEY,89,55,430,217,891,576,06/02/19 11:59 AM
324,DAISY,48,78,143,157,627,712,07/02/19 11:59 AM
325,LUNA,99,91,260,485,662,876,08/02/19 11:59 AM
326,CHARLIE,68,98,283,311,767,862,09/02/19 11:59 AM
327,MAGGIE,7,37,398,284,715,861,10/02/19 11:59 AM
328,MOLLY,76,35,154,445,839,689,11/02/19 11:59 AM
329,COOPER,87,78,433,351,844,696,12/02/19 11:59 AM
330,GINGER,10,3,421,411,575,880,13/02/19 11:59 AM
331,JACK,66,74,203,201,814,842,14/02/19 11:59 AM
332,WILLOW,47,67,426,482,671,957,15/02/19 11:59 AM
333,ABBY,15,33,254,303,827,600,16/02/19 11:59 AM
334,BEAR,75,79,267,473,893,854,05/02/19 11:59 AM
335,LILY,94,36,407,169,614,666,06/02/19 11:59 AM
336,DUKE,19,19,143,498,810,649,07/02/19 11:59 AM
337,KODA,32,97,264,357,862,870,08/02/19 11:59 AM
338,ROCKY,28,94,172,181,848,814,09/02/19 11:59 AM
339,CHLOE,14,5,290,392,890,643,10/02/19 11:59 AM
340,KENAI,68,88,324,430,534,948,11/02/19 11:59 AM
341,HARLEY,44,47,344,235,860,532,12/02/19 11:59 AM
342,DENALI,83,53,214,478,823,928,13/02/19 11:59 AM
343,TOBY,62,59,259,503,692,658,14/02/19 11:59 AM
344,JAKE,57,24,214,272,571,673,15/02/19 11:59 AM
345,LOKI,58,4,306,342,520,547,16/02/19 11:59 AM
346,RUBY,39,87,466,176,668,721,06/02/19 11:59 AM
347,ROXY,97,45,362,144,969,628,07/02/19 11:59 AM
348,LUCKY,88,83,450,389,774,981,08/02/19 11:59 AM
349,PENNY,20,36,155,161,821,601,09/02/19 11:59 AM
350,RILEY,100,13,166,298,866,949,10/02/19 11:59 AM
351,SHADOW,86,68,430,199,565,737,11/02/19 11:59 AM
352,SOPHIE,79,48,415,434,608,544,12/02/19 11:59 AM
353,LOLA,31,50,357,141,920,822,13/02/19 11:59 AM
354,ROSIE,45,33,495,328,768,952,14/02/19 11:59 AM
355,PEPPER,89,97,210,361,845,607,15/02/19 11:59 AM
356,COCO,67,94,386,454,658,927,16/02/19 11:59 AM
357,GUS,14,56,441,170,708,656,17/02/19 11:59 AM
358,LADY,20,46,142,229,684,546,06/02/19 11:59 AM
359,BANDIT,27,63,486,361,929,842,07/02/19 11:59 AM
360,GRACIE,19,72,110,429,570,659,08/02/19 11:59 AM
361,JASPER,73,15,227,457,776,595,09/02/19 11:59 AM
362,PIPER,40,63,503,483,719,728,10/02/19 11:59 AM
363,STELLA,73,34,307,401,960,537,11/02/19 11:59 AM
364,YUKON,63,16,203,297,990,792,12/02/19 11:59 AM
365,ZOEY,36,96,289,164,659,783,13/02/19 11:59 AM
366,ANNIE,87,96,115,107,619,532,14/02/19 11:59 AM
367,BUSTER,43,62,249,238,916,657,15/02/19 11:59 AM
368,SAM,51,46,461,400,832,539,16/02/19 11:59 AM
369,MARLEY,48,65,416,372,606,809,17/02/19 11:59 AM
370,SCOUT,9,16,281,495,539,820,07/02/19 11:59 AM
371,BENTLEY,21,21,209,234,894,862,08/02/19 11:59 AM
372,DIESEL,30,93,468,429,724,574,09/02/19 11:59 AM
373,KONA,8,77,143,264,998,940,10/02/19 11:59 AM
374,RUGER,94,4,430,184,605,887,11/02/19 11:59 AM
375,THOR,30,76,417,316,615,656,12/02/19 11:59 AM
376,ZEUS,29,63,387,132,631,856,13/02/19 11:59 AM
377,ATHENA,62,91,126,250,755,796,14/02/19 11:59 AM
378,ELLIE,39,90,303,121,712,708,15/02/19 11:59 AM
379,FINN,92,15,454,479,566,858,16/02/19 11:59 AM
380,LILLY,97,22,113,347,832,856,17/02/19 11:59 AM
381,MILO,6,40,385,249,742,603,18/02/19 11:59 AM
382,TITAN,88,78,402,437,856,711,07/02/19 11:59 AM
383,BLUE,17,94,226,381,997,738,08/02/19 11:59 AM
384,DAKOTA,84,17,226,174,654,726,09/02/19 11:59 AM
385,KISKA,50,26,433,129,915,945,10/02/19 11:59 AM
386,LEO,70,88,309,303,1001,747,11/02/19 11:59 AM
387,MINNIE,65,94,217,103,518,895,12/02/19 11:59 AM
388,MURPHY,60,76,224,240,697,543,13/02/19 11:59 AM
389,OSCAR,15,72,230,471,667,723,14/02/19 11:59 AM
390,SASHA,26,89,110,333,988,552,15/02/19 11:59 AM
391,TUCKER,87,41,285,342,621,664,16/02/19 11:59 AM
392,KODIAK,12,95,273,327,592,629,17/02/19 11:59 AM
393,LOUIE,51,62,276,494,765,794,18/02/19 11:59 AM
394,NALA,93,56,430,208,557,791,08/02/19 11:59 AM
395,OLIVER,5,28,453,347,800,742,09/02/19 11:59 AM
396,RANGER,69,32,475,159,860,634,10/02/19 11:59 AM
397,slim,30,22,104,199,832,818,05/02/19 11:59 AM
398,spike,99,36,252,369,831,509,06/02/19 11:59 AM
399,mamacat,79,81,370,186,962,961,07/02/19 11:59 AM
400,babycat,67,87,343,266,624,724,08/02/19 11:59 AM
401,miko,25,9,145,126,873,824,09/02/19 11:59 AM
402,WINSTON,54,61,279,163,856,583,10/02/19 11:59 AM
403,ZOE,32,68,142,214,786,953,11/02/19 11:59 AM
404,ANGEL,76,67,309,376,886,716,12/02/19 11:59 AM
405,BAXTER,32,67,279,262,980,770,13/02/19 11:59 AM
406,EMMA,89,7,435,347,671,552,14/02/19 11:59 AM
407,GIZMO,69,77,322,374,863,738,15/02/19 11:59 AM
408,HAZEL,103,59,289,298,523,868,16/02/19 11:59 AM
409,CHANCE,48,84,491,387,833,749,05/02/19 11:59 AM
410,CHEWY,73,45,419,240,721,718,06/02/19 11:59 AM
411,HUNTER,7,104,379,190,829,677,07/02/19 11:59 AM
412,JACKSON,54,60,287,410,786,829,08/02/19 11:59 AM
413,MADDIE,76,57,321,360,721,547,09/02/19 11:59 AM
414,OTIS,65,80,453,376,933,606,10/02/19 11:59 AM
415,RAVEN,31,45,179,370,776,938,11/02/19 11:59 AM
416,TEDDY,96,30,438,281,548,1001,12/02/19 11:59 AM
417,BO,43,101,228,502,822,857,13/02/19 11:59 AM
418,BUDDY,90,103,473,242,929,904,14/02/19 11:59 AM
419,MAX,10,25,465,128,722,668,15/02/19 11:59 AM
420,SADIE,59,43,323,244,868,957,16/02/19 11:59 AM
421,LUCY,19,34,374,181,782,785,06/02/19 11:59 AM
422,BAILEY,90,56,431,218,892,577,07/02/19 11:59 AM
423,DAISY,49,79,144,158,628,713,08/02/19 11:59 AM
424,LUNA,100,92,261,486,663,877,09/02/19 11:59 AM
425,CHARLIE,69,99,284,312,768,863,10/02/19 11:59 AM
426,MAGGIE,8,38,399,285,716,862,11/02/19 11:59 AM
427,MOLLY,77,36,155,446,840,690,12/02/19 11:59 AM
428,COOPER,88,79,434,352,845,697,13/02/19 11:59 AM
429,GINGER,11,4,422,412,576,881,14/02/19 11:59 AM
430,JACK,67,75,204,202,815,843,15/02/19 11:59 AM
431,WILLOW,48,68,427,483,672,958,16/02/19 11:59 AM
