id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp,latitude,longitude,only_in_version_2
62,BANDIT,5,21,867,60,235,441,02/02/18 11:59 AM,24.3496938,48.8696693,a
63,GRACIE,52,46,721,510,38,407,03/02/18 11:59 AM,18.2999049,51.8330751,a
64,JASPER,53,89,71,979,31,546,04/02/18 11:59 AM,91.4203997,24.1025409,a
65,PIPER,33,21,81,446,983,146,05/02/18 11:59 AM,79.1331834,99.9504483,a
66,STELLA,78,64,130,530,514,556,06/02/18 11:59 AM,72.1329997,2.5538221,a
67,YUKON,76,13,855,837,882,96,07/02/18 11:59 AM,1.8269368,73.9841178,a
68,ZOEY,39,9,81,92,12,527,08/02/18 11:59 AM,80.7230128,79.4744685,a
69,ANNIE,83,73,249,338,36,114,09/02/18 11:59 AM,94.5312646,99.0525488,a
70,BUSTER,54,93,760,323,272,483,10/02/18 11:59 AM,48.5752372,29.8457193,a
71,SAM,85,91,991,693,863,285,11/02/18 11:59 AM,40.5061726,20.7269677,a
72,MARLEY,70,69,313,580,1000,531,12/02/18 11:59 AM,25.7099575,82.0922861,a
73,SCOUT,55,9,902,667,111,410,01/02/18 11:59 AM,66.6472718,0.1339938,a
74,BENTLEY,100,30,572,968,570,677,02/02/18 11:59 AM,47.9415911,38.1026481,a
75,DIESEL,68,63,533,839,547,545,06/02/18 11:59 AM,40.1436412,49.5396391,a
76,KONA,2,42,378,51,547,232,04/02/18 11:59 AM,90.8870354,78.3505703,a
77,RUGER,12,61,999,774,449,965,05/02/18 11:59 AM,75.7945887,89.8394017,a
78,THOR,7,65,989,591,47,621,06/02/18 11:59 AM,90.691704,26.8376777,a
79,ZEUS,56,96,296,365,892,679,07/02/18 11:59 AM,65.1703928,42.7858087,a
80,ATHENA,37,44,674,408,203,910,05/02/18 11:59 AM,45.660017,1.1243789,a
81,ELLIE,59,71,831,527,253,294,09/02/18 11:59 AM,92.940337,84.8094158,a
82,FINN,94,31,758,975,921,427,10/02/18 11:59 AM,16.6564318,9.2069231,a
83,LILLY,100,20,337,574,990,692,10/02/18 11:59 AM,41.8259841,52.4321103,a
84,MILO,20,98,664,947,166,558,12/02/18 11:59 AM,79.987166,26.2218262,a
85,TITAN,34,73,31,475,551,412,01/02/18 11:59 AM,7.1942446,0.8343662,a
86,BLUE,26,72,646,719,72,125,02/02/18 11:59 AM,7.3971754,33.3002341,a
87,DAKOTA,95,8,550,776,893,995,03/02/18 11:59 AM,58.2467249,60.9918104,a
88,KISKA,60,51,723,492,991,120,04/02/18 11:59 AM,10.1899125,65.8655365,a
89,LEO,34,99,412,806,260,319,05/02/18 11:59 AM,74.851048,43.9977648,a
90,MINNIE,94,14,473,889,267,263,06/02/18 11:59 AM,70.4052605,3.6782537,a
91,MURPHY,19,76,842,619,442,605,07/02/18 11:59 AM,13.0389736,72.5190366,a
92,OSCAR,48,54,671,85,765,996,08/02/18 11:59 AM,39.7897494,47.5669064,a
93,SASHA,92,57,334,298,259,972,09/02/18 11:59 AM,89.302336,74.6266461,a
94,TUCKER,24,69,986,92,13,715,10/02/18 11:59 AM,69.669045,66.1633482,a
95,KODIAK,49,8,425,907,36,28,11/02/18 11:59 AM,32.186649,69.565515,a
96,LOUIE,41,33,694,747,576,980,12/02/18 11:59 AM,91.9097729,45.6391263,a
97,NALA,10,50,414,510,176,496,01/02/18 11:59 AM,9.4237179,62.1859948,a
98,OLIVER,23,97,778,590,880,64,02/02/18 11:59 AM,93.0219486,3.8697945,a
99,RANGER,51,74,443,941,904,708,06/02/18 11:59 AM,76.5137063,60.8497059,a
100,slim,79,5,215,770,228,190,04/02/18 11:59 AM,28.8154989,22.6256956,a
101,spike,77,81,689,501,742,71,05/02/18 11:59 AM,39.4109222,79.2340895,a
102,mamacat,24,19,491,230,674,650,06/02/18 11:59 AM,69.1241811,37.2889266,a
103,babycat,87,34,174,160,681,169,07/02/18 11:59 AM,75.6601037,78.7291838,a
104,miko,22,65,326,996,206,517,05/02/18 11:59 AM,8.1758303,16.3759754,a
105,WINSTON,40,0,738,113,809,172,09/02/18 11:59 AM,59.4479276,16.3881821,a
106,ZOE,7,31,238,953,378,43,10/02/18 11:59 AM,54.5086421,65.6491719,a
107,ANGEL,36,81,297,237,896,435,10/02/18 11:59 AM,71.9278609,3.3326139,a
108,BAXTER,64,63,769,670,161,269,12/02/18 11:59 AM,89.358665,22.3167761,a
109,EMMA,42,47,881,187,407,51,01/02/18 11:59 AM,66.0273789,39.9083086,a
110,GIZMO,51,99,706,330,441,856,02/02/18 11:59 AM,27.0036165,74.0125158,a
111,HAZEL,0,98,689,240,637,895,03/02/18 11:59 AM,80.9353144,10.7655214,a
112,CHANCE,24,50,411,212,593,407,04/02/18 11:59 AM,11.1907119,25.898189,a
113,CHEWY,44,57,400,104,154,140,05/02/18 11:59 AM,7.1401014,29.7128173,a
114,HUNTER,69,11,477,352,213,145,06/02/18 11:59 AM,57.0757511,6.3561783,a
115,JACKSON,42,43,138,567,85,454,07/02/18 11:59 AM,46.4299129,37.5878899,a
116,MADDIE,19,24,759,191,76,590,08/02/18 11:59 AM,98.1461957,41.2291336,a
117,OTIS,69,24,902,303,171,77,09/02/18 11:59 AM,4.2477401,37.0141838,a
118,RAVEN,72,46,450,529,716,477,10/02/18 11:59 AM,73.1735805,77.5016615,a
119,TEDDY,98,96,801,552,820,707,11/02/18 11:59 AM,51.881058,56.032143,a
120,BO,12,1,706,179,406,927,12/02/18 11:59 AM,32.4204435,5.7144057,a
121,BUDDY,72,28,361,560,939,105,01/02/18 11:59 AM,11.9030113,68.2815341,a
122,MAX,74,65,796,228,256,176,02/02/18 11:59 AM,65.4475463,81.8955639,a
123,SADIE,47,54,653,996,400,729,06/02/18 11:59 AM,0.5901891,37.8373556,a
124,LUCY,17,69,923,646,420,252,04/02/18 11:59 AM,44.8858346,58.0918486,a
125,BAILEY,78,90,700,996,84,36,05/02/18 11:59 AM,86.5854607,62.0229973,a
126,DAISY,32,39,268,243,633,26,06/02/18 11:59 AM,87.61457,4.7213676,a
127,LUNA,24,15,935,658,349,558,07/02/18 11:59 AM,24.3583153,59.9778333,a
128,CHARLIE,14,12,183,415,574,682,05/02/18 11:59 AM,31.6894464,43.7219527,a
129,MAGGIE,62,39,775,322,989,530,09/02/18 11:59 AM,64.4831217,25.3192267,a
130,MOLLY,31,17,732,901,849,949,10/02/18 11:59 AM,7.1216013,99.9113094,a
131,COOPER,56,73,514,367,239,75,10/02/18 11:59 AM,69.1105568,6.9162088,a
132,GINGER,64,37,93,218,218,958,12/02/18 11:59 AM,70.7826715,17.2986542,a
133,JACK,37,8,776,236,808,81,01/02/18 11:59 AM,12.9985424,45.4486992,a
134,WILLOW,32,26,59,6,816,396,02/02/18 11:59 AM,21.6411046,42.6371579,a
135,ABBY,3,9,26,635,91,145,03/02/18 11:59 AM,60.8127271,9.6105774,a
136,BEAR,23,90,833,123,945,231,04/02/18 11:59 AM,51.6690999,42.3062529,a
137,LILY,87,97,332,497,993,143,05/02/18 11:59 AM,48.1450131,87.0930637,a
138,DUKE,6,5,32,568,345,355,06/02/18 11:59 AM,30.4426526,68.3212519,a
139,KODA,45,36,292,182,817,42,07/02/18 11:59 AM,77.3861629,88.711653,a
140,ROCKY,70,6,592,521,891,566,08/02/18 11:59 AM,88.1795957,42.8241595,a
141,CHLOE,72,75,805,455,764,199,09/02/18 11:59 AM,97.1972913,91.0641922,a
142,KENAI,81,20,630,680,354,341,10/02/18 11:59 AM,45.3372685,66.8368119,a
143,HARLEY,38,4,729,145,285,181,11/02/18 11:59 AM,27.3892686,41.1716358,a
144,DENALI,19,0,173,723,952,872,12/02/18 11:59 AM,11.5388064,27.7231661,a
145,TOBY,54,85,179,660,126,148,01/02/18 11:59 AM,36.1846367,82.3752134,a
146,JAKE,90,84,553,859,190,62,02/02/18 11:59 AM,16.394183,94.4471902,a
147,LOKI,100,78,360,468,359,181,06/02/18 11:59 AM,68.4590467,18.3192561,a
148,RUBY,9,25,240,423,570,148,04/02/18 11:59 AM,64.7361461,34.8735176,a
149,ROXY,100,19,745,764,593,175,05/02/18 11:59 AM,41.0264875,73.0790129,a
150,LUCKY,98,17,933,935,375,757,06/02/18 11:59 AM,51.7234422,47.9362994,a
151,PENNY,79,77,793,588,726,628,07/02/18 11:59 AM,47.6553738,77.1929396,a
152,RILEY,25,53,893,670,978,630,05/02/18 11:59 AM,34.4034305,22.3490114,a
153,SHADOW,82,94,332,847,182,175,09/02/18 11:59 AM,26.1185257,10.9652783,a
154,SOPHIE,73,33,138,469,869,718,10/02/18 11:59 AM,95.9878971,35.2713292,a
155,LOLA,10,90,891,176,122,776,10/02/18 11:59 AM,18.3223499,40.9839223,a
156,ROSIE,33,42,759,962,259,68,12/02/18 11:59 AM,43.5634297,6.4885252,a
157,PEPPER,3,35,661,275,365,506,01/02/18 11:59 AM,75.2686705,39.2084617,a
158,COCO,97,56,23,475,904,791,02/02/18 11:59 AM,9.2363417,46.5840101,a
159,GUS,92,81,17,327,164,396,03/02/18 11:59 AM,20.3690903,59.7121067,a
160,LADY,33,32,278,501,23,987,04/02/18 11:59 AM,87.7975178,90.6208015,a
161,BANDIT,7,68,329,27,101,311,05/02/18 11:59 AM,0.0471935,25.2761464,a
162,GRACIE,71,78,242,621,268,654,06/02/18 11:59 AM,20.0244971,75.135056,a
163,JASPER,59,76,466,885,772,313,07/02/18 11:59 AM,41.9786732,61.3923138,a
164,PIPER,47,59,875,180,722,881,08/02/18 11:59 AM,59.2475468,62.1737692,a
165,STELLA,24,72,304,963,256,676,09/02/18 11:59 AM,81.6558431,78.3542203,a
166,YUKON,35,66,89,617,299,37,10/02/18 11:59 AM,96.6272764,50.0870523,a
167,ZOEY,80,48,797,221,748,238,11/02/18 11:59 AM,51.0025757,72.6211198,a
168,ANNIE,79,86,200,69,568,425,12/02/18 11:59 AM,44.243787,60.679665,a
169,BUSTER,36,74,133,687,617,683,01/02/18 11:59 AM,82.5741322,6.7333042,a
170,SAM,65,39,288,904,601,476,02/02/18 11:59 AM,18.8151016,40.1264449,a
171,MARLEY,12,28,375,538,74,739,06/02/18 11:59 AM,66.7832181,57.3170408,a
172,SCOUT,39,48,90,454,72,450,04/02/18 11:59 AM,77.8638419,47.1243041,a
173,BENTLEY,40,95,120,822,595,459,05/02/18 11:59 AM,29.3456419,79.2807522,a
174,DIESEL,85,77,904,564,798,321,06/02/18 11:59 AM,93.8315457,26.567331,a
175,KONA,56,75,804,544,127,758,07/02/18 11:59 AM,22.6911803,97.7966948,a
176,RUGER,40,82,974,531,656,979,05/02/18 11:59 AM,65.3263928,7.7176884,a
177,THOR,52,96,114,486,51,266,09/02/18 11:59 AM,91.1568015,17.5530663,a
178,ZEUS,26,76,541,844,669,736,10/02/18 11:59 AM,67.5100692,51.4503443,a
179,ATHENA,92,36,343,512,499,59,10/02/18 11:59 AM,90.5427541,61.2187069,a
180,ELLIE,1,29,679,237,852,757,12/02/18 11:59 AM,16.9331469,19.2913949,a
181,FINN,83,64,891,80,338,38,01/02/18 11:59 AM,0.7233057,47.0337118,a
182,LILLY,14,94,964,5,998,53,02/02/18 11:59 AM,17.2653438,55.0524532,a
183,MILO,94,19,843,747,631,333,03/02/18 11:59 AM,39.8402992,10.4173849,a
184,TITAN,59,68,952,69,885,771,04/02/18 11:59 AM,10.9021733,38.0504387,a
185,BLUE,100,78,26,701,843,90,05/02/18 11:59 AM,2.8325329,80.9862588,a
186,DAKOTA,79,7,549,398,577,559,06/02/18 11:59 AM,62.1841914,36.7089392,a
187,KISKA,75,26,979,110,682,604,07/02/18 11:59 AM,2.3183346,22.5881172,a
188,LEO,36,21,922,594,838,498,08/02/18 11:59 AM,42.677876,23.0656856,a
189,MINNIE,30,7,959,646,500,230,09/02/18 11:59 AM,16.2456396,66.9941032,a
190,MURPHY,97,18,130,380,769,83,10/02/18 11:59 AM,0.999799,44.1798569,a
191,OSCAR,65,66,48,6,230,467,11/02/18 11:59 AM,66.0101297,67.8480555,a
192,SASHA,67,20,440,103,284,241,12/02/18 11:59 AM,23.8280826,78.4041792,a
193,TUCKER,63,55,679,512,58,688,01/02/18 11:59 AM,8.0712731,92.2092835,a
194,KODIAK,97,24,429,59,319,957,02/02/18 11:59 AM,97.4711672,33.7257875,a
195,LOUIE,36,1,872,273,821,10,06/02/18 11:59 AM,16.711128,19.9868754,a
196,NALA,9,41,642,498,514,211,04/02/18 11:59 AM,54.8286453,94.288746,a
197,OLIVER,45,31,542,654,808,376,05/02/18 11:59 AM,60.8656074,50.337892,a
198,RANGER,47,22,839,870,386,713,06/02/18 11:59 AM,8.2409859,61.4296691,a
199,slim,40,20,403,601,348,278,07/02/18 11:59 AM,16.9178233,67.8054574,a
200,spike,23,100,200,7,823,94,05/02/18 11:59 AM,83.6992392,27.7971081,a
201,mamacat,92,52,47,870,798,50,09/02/18 11:59 AM,13.4767133,80.0522691,a
202,babycat,41,12,225,27,576,271,10/02/18 11:59 AM,64.095013,35.6060839,a
203,miko,90,66,941,814,199,144,10/02/18 11:59 AM,52.8493284,86.953603,a
204,WINSTON,48,85,753,862,545,768,12/02/18 11:59 AM,56.4725506,31.5071269,a
205,ZOE,11,40,112,867,497,481,01/02/18 11:59 AM,71.1532171,2.7113879,a
206,ANGEL,55,44,777,345,702,505,02/02/18 11:59 AM,33.4971937,21.1020173,a
207,BAXTER,97,75,306,728,436,660,03/02/18 11:59 AM,48.8316119,80.1506454,a
208,EMMA,78,88,84,708,979,123,04/02/18 11:59 AM,41.2965986,13.2223813,a
209,GIZMO,20,42,819,199,10,568,05/02/18 11:59 AM,94.0950792,41.1450769,a
210,HAZEL,19,79,293,998,278,137,06/02/18 11:59 AM,84.6851185,39.4549654,a
211,CHANCE,82,15,688,167,862,768,07/02/18 11:59 AM,94.0628803,11.4303506,a
212,CHEWY,2,94,151,74,998,951,08/02/18 11:59 AM,28.7397006,63.3765743,a
213,HUNTER,74,11,921,12,453,496,09/02/18 11:59 AM,17.5491495,37.9523753,a
214,JACKSON,6,70,217,4,402,444,10/02/18 11:59 AM,18.14767,18.0079952,a
215,MADDIE,82,48,573,729,591,316,11/02/18 11:59 AM,57.7173577,64.337332,a
216,OTIS,54,30,640,120,715,14,12/02/18 11:59 AM,23.4174889,53.6750053,a
217,RAVEN,37,85,64,562,875,339,01/02/18 11:59 AM,55.8667725,58.9476085,a
218,TEDDY,11,13,694,218,605,927,02/02/18 11:59 AM,89.4132994,62.6167381,a
219,BO,8,91,247,652,409,402,06/02/18 11:59 AM,15.9528118,69.0392333,a
220,BUDDY,66,37,63,83,895,51,04/02/18 11:59 AM,15.5990532,27.1139883,a
221,MAX,60,65,297,195,87,348,05/02/18 11:59 AM,23.1372552,88.0980094,a
222,SADIE,74,64,148,480,504,182,06/02/18 11:59 AM,21.6257358,24.9924906,a
223,LUCY,40,68,910,862,182,359,07/02/18 11:59 AM,69.1211869,12.038688,a
224,BAILEY,61,44,445,843,409,431,05/02/18 11:59 AM,58.2429057,24.3205471,a
225,DAISY,34,75,541,595,845,995,09/02/18 11:59 AM,69.4755249,67.7215547,a
226,LUNA,38,28,143,339,731,190,10/02/18 11:59 AM,70.85635,74.1948802,a
227,CHARLIE,23,78,852,515,693,896,10/02/18 11:59 AM,87.4303027,18.5941924,a
228,MAGGIE,52,6,105,650,122,66,12/02/18 11:59 AM,55.6544377,56.639709,a
229,MOLLY,91,55,734,224,62,5,01/02/18 11:59 AM,45.475502,96.2442057,a
230,COOPER,44,57,120,792,617,405,02/02/18 11:59 AM,45.2987206,98.5184125,a
231,GINGER,24,89,511,599,835,151,03/02/18 11:59 AM,87.0076296,45.827102,a
232,JACK,12,52,558,9,922,326,04/02/18 11:59 AM,50.5686516,98.1261825,a
233,WILLOW,52,28,14,220,242,313,05/02/18 11:59 AM,73.9597524,20.2583316,a
234,ABBY,25,75,640,724,971,741,06/02/18 11:59 AM,6.9285983,85.7263636,a
235,BEAR,46,72,319,127,549,67,07/02/18 11:59 AM,66.1018684,70.5265889,a
236,LILY,81,73,219,868,650,830,08/02/18 11:59 AM,30.4739932,3.8626501,a
237,DUKE,90,43,582,266,431,476,09/02/18 11:59 AM,17.8765593,49.6241734,a
238,KODA,66,21,243,593,526,763,10/02/18 11:59 AM,5.3411652,84.9208356,a
239,ROCKY,6,58,669,84,427,281,11/02/18 11:59 AM,13.4874627,70.5620277,a
240,CHLOE,85,8,368,497,376,974,12/02/18 11:59 AM,73.4718094,96.0044296,a
241,KENAI,62,8,286,526,299,421,01/02/18 11:59 AM,99.6884874,12.7514907,a
242,HARLEY,47,1,175,209,757,324,02/02/18 11:59 AM,9.7676607,53.8121875,a
243,DENALI,11,86,4,414,682,99,06/02/18 11:59 AM,1.7515771,83.0103121,a
244,TOBY,26,66,774,204,274,913,04/02/18 11:59 AM,63.0216914,56.3695699,a
245,JAKE,7,93,565,82,212,891,05/02/18 11:59 AM,32.9745488,87.5376139,a
246,LOKI,12,50,900,972,58,540,06/02/18 11:59 AM,21.1181124,10.899756,a
247,RUBY,0,100,605,630,592,365,07/02/18 11:59 AM,18.1319628,91.0527041,a
248,ROXY,6,89,26,983,594,233,05/02/18 11:59 AM,97.4442277,34.4824535,a
249,LUCKY,73,42,182,715,601,39,09/02/18 11:59 AM,76.6868917,43.4750012,a
250,PENNY,95,67,149,922,321,364,10/02/18 11:59 AM,60.2940097,61.7851521,a
251,RILEY,50,41,257,778,17,694,10/02/18 11:59 AM,14.1232109,34.646092,a
252,SHADOW,15,63,533,924,581,699,12/02/18 11:59 AM,46.8914944,1.6811453,a
253,SOPHIE,92,27,749,420,872,26,01/02/18 11:59 AM,33.6152721,95.3217013,a
254,LOLA,94,33,764,497,448,86,02/02/18 11:59 AM,58.4377568,67.3785314,a
255,ROSIE,99,7,8,415,834,746,03/02/18 11:59 AM,32.7177881,8.7035767,a
256,PEPPER,64,51,706,793,295,720,04/02/18 11:59 AM,88.5569125,69.1669573,a
257,COCO,78,87,518,401,533,212,05/02/18 11:59 AM,61.0459245,50.1194731,a
258,GUS,54,20,370,560,262,536,06/02/18 11:59 AM,39.9411541,2.2753494,a
259,LADY,6,71,864,520,877,297,07/02/18 11:59 AM,92.3485647,42.0726632,a
260,BANDIT,84,32,344,937,17,369,08/02/18 11:59 AM,83.2907608,35.9902285,a
261,GRACIE,21,99,862,655,30,507,09/02/18 11:59 AM,77.5165958,70.2955655,a
262,JASPER,15,38,908,70,936,99,10/02/18 11:59 AM,90.6857426,15.0166253,a
263,PIPER,21,77,2,588,26,326,11/02/18 11:59 AM,66.8133382,43.9364506,a
264,STELLA,42,13,33,579,638,100,12/02/18 11:59 AM,34.5794277,34.1522488,a
265,YUKON,50,0,710,804,509,149,01/02/18 11:59 AM,53.7025826,22.7658764,a
266,ZOEY,96,42,439,492,304,24,02/02/18 11:59 AM,16.8727174,50.4950782,a
267,ANNIE,4,44,645,182,262,52,06/02/18 11:59 AM,26.7201506,56.0642641,a
268,BUSTER,72,90,103,820,446,773,04/02/18 11:59 AM,2.973182,32.467629,a
269,SAM,32,48,582,736,41,502,05/02/18 11:59 AM,98.1076789,93.5388499,a
270,MARLEY,83,12,714,542,873,530,06/02/18 11:59 AM,90.939313,17.1198467,a
271,SCOUT,26,48,610,978,926,1,07/02/18 11:59 AM,34.7664313,3.2091236,a
272,BENTLEY,2,25,46,224,355,369,05/02/18 11:59 AM,45.3031339,30.6949945,a
273,DIESEL,4,16,862,598,572,963,09/02/18 11:59 AM,5.3452074,97.3711398,a
274,KONA,84,3,568,527,461,423,10/02/18 11:59 AM,13.6523341,77.4241404,a
275,RUGER,15,27,766,799,503,829,10/02/18 11:59 AM,48.3385819,38.1067539,a
276,THOR,33,11,536,138,542,403,12/02/18 11:59 AM,3.427369,13.3985964,a
277,ZEUS,95,59,619,684,818,57,01/02/18 11:59 AM,69.3682554,34.9287727,a
278,ATHENA,3,63,110,624,225,292,02/02/18 11:59 AM,39.2621993,69.6489295,a
279,ELLIE,32,48,391,827,892,246,03/02/18 11:59 AM,90.1440627,43.4871655,a
280,FINN,5,94,813,326,351,382,04/02/18 11:59 AM,97.5298942,18.0001731,a
281,LILLY,22,75,369,122,530,548,05/02/18 11:59 AM,12.839383,15.5130609,a
282,MILO,82,31,690,245,45,932,06/02/18 11:59 AM,27.9856388,5.2522295,a
283,TITAN,86,91,564,665,660,565,07/02/18 11:59 AM,52.4913472,22.918945,a
284,BLUE,64,10,618,708,343,997,08/02/18 11:59 AM,46.7394615,58.0614035,a
285,DAKOTA,90,68,857,544,102,81,09/02/18 11:59 AM,36.7344476,70.4482097,a
286,KISKA,38,44,682,527,449,52,10/02/18 11:59 AM,21.827024,95.7181892,a
287,LEO,16,7,349,214,495,665,11/02/18 11:59 AM,91.4794618,36.8674612,a
288,MINNIE,82,46,649,801,886,115,12/02/18 11:59 AM,17.5386176,31.2638233,a
289,MURPHY,98,43,987,554,115,619,01/02/18 11:59 AM,15.7208747,69.3949437,a
290,OSCAR,26,9,44,979,181,859,02/02/18 11:59 AM,45.7637638,76.1513845,a
291,SASHA,39,10,14,820,179,392,06/02/18 11:59 AM,91.1885307,11.7946055,a
292,TUCKER,93,75,490,51,802,10,04/02/18 11:59 AM,74.9356467,87.1370317,a
293,KODIAK,90,71,614,402,712,169,05/02/18 11:59 AM,49.9832802,12.0767355,a
294,LOUIE,37,75,739,394,331,997,06/02/18 11:59 AM,27.330887,17.4014399,a
295,NALA,22,46,356,213,746,331,07/02/18 11:59 AM,51.8242066,0.7770134,a
296,OLIVER,34,53,311,195,383,914,05/02/18 11:59 AM,83.3892033,63.6690219,a
297,RANGER,64,38,840,366,529,187,09/02/18 11:59 AM,29.9591971,83.8992982,a
298,slim,0,51,836,964,882,259,10/02/18 11:59 AM,93.9481167,50.8239101,a
299,spike,47,96,529,45,913,164,10/02/18 11:59 AM,72.7597299,6.0172455,a
300,mamacat,21,31,669,976,611,887,12/02/18 11:59 AM,28.7239013,17.6987407,a
301,babycat,77,82,916,884,500,669,01/02/18 11:59 AM,70.5634009,43.5565452,a
